Time,Date,kwh
9am ,27-Nov-2014,0.117   
12pm ,17-Jan-2014,1.10kwh
11pm ,19-Apr-2014,0.273kwh  
8pm ,07-Feb-2014,1.997kwh
10am ,07-Jun-2014,1.188kwh  
11pm , 8-Jan-2014,0.81 
11am , 3-Sep-2014,0.403
6pm ,27-Feb-2014,1.932   
5pm ,26-Dec-2014,1.187 
6am ,15-Apr-2014,0.353kwh 
11pm ,02-Mar-2014,0.384kwh
10am ,29-Apr-2014,0.142
8am ,04-Oct-2014,0.819kwh  
5pm ,02-Jul-2014,2.87 
4pm ,27-Aug-2014,0.494kwh 
6pm ,14-Feb-2014,1.747 
8am ,27-Jun-2014,0.785  
4pm ,28-Feb-2014,0.538kwh
4pm , 7-Apr-2014,0.132  
7am ,19-Sep-2014,0.58kwh  
12pm ,23-Oct-2014,0.282kwh  
2pm ,22-Mar-2014,0.576 
5pm ,07-Mar-2014,0.998kwh 
12pm ,16-Apr-2014,0.15 
2am ,23-Nov-2014,0.12 
3am ,13-Feb-2014,0.288kwh 
2pm ,23-Jan-2014,0.808  
4am ,1-Apr-2014,0.053  
1pm ,19-Jun-2014,0.835kwh 
10pm ,31-Jan-2014,1.442kwh 
8pm ,15-Aug-2014,2.131 
6am , 2-Mar-2014,0.544  
3pm ,04-Oct-2014,0.481  
2pm ,24-Dec-2014,0.484   
11am , 8-May-2014,0.332 
8pm ,27-Oct-2014,0.883  
5pm , 7-Dec-2014,1.02kwh  
6pm ,17-May-2014,1.224kwh
10pm , 9-Feb-2014,0.648  
11am , 7-Nov-2014,0.196   
12pm ,21-Feb-2014,0.498  
9pm , 9-Apr-2014,0.157kwh  
9am ,26-May-2014,0.204kwh  
4am ,20-Nov-2014,0.08  
6pm ,09-Jul-2014,3.058 
4am ,26-Dec-2014,0.191  
3am ,29-Oct-2014,0.142 
9pm ,13-Aug-2014,0.85  
12am ,13-Feb-2014,0.36
9pm ,03-Feb-2014,0.828 
9am ,30-Jan-2014,0.552 
12pm , 3-Aug-2014,0.698  
4pm ,23-Apr-2014,0.132
2pm ,14-Mar-2014,0.32kwh
7am ,17-Jan-2014,1.494kwh 
5am ,28-Sep-2014,0.242 
4pm , 9-Aug-2014,1.145 
2pm ,14-Apr-2014,0.102 
1am ,05-Sep-2014,0.136kwh  
9pm , 9-Nov-2014,0.308kwh
10am ,29-May-2014,0.298 
7pm ,01-Oct-2014,1.026
5pm ,08-Mar-2014,0.734 
9am ,17-Sep-2014,0.214kwh 
8am ,17-Feb-2014,0.542  
9pm ,11-May-2014,0.518
7pm ,21-May-2014,1.598   
1pm ,18-Apr-2014,0.103kwh
10am ,9-Apr-2014,0.114 
8pm ,19-Mar-2014,1.357kwh
9pm ,21-Aug-2014,0.605   
1pm ,15-Jul-2014,0.941  
6am ,16-Apr-2014,0.324 
9pm ,26-Jan-2014,1.116
8pm ,16-Jun-2014,2.592  
12pm ,29-Jun-2014,1.123 
1am ,11-Oct-2014,0.164 
1pm ,27-May-2014,0.342 
8pm ,12-Apr-2014,0.572kwh  
3am ,19-Jun-2014,0.421 
10pm ,2-Jan-2014,0.90   
10pm , 2-Mar-2014,0.476kwh  
7am ,21-Oct-2014,0.486kwh  
7pm ,28-Aug-2014,2.419  
4pm ,11-Apr-2014,0.132 
11am ,07-Oct-2014,0.345 
1am ,05-Mar-2014,0.144 
5am ,24-Jul-2014,2.482kwh 
10am , 9-Jul-2014,1.018kwh 
7am ,23-Mar-2014,0.816
2am ,11-Sep-2014,0.158kwh
3am , 2-Jul-2014,0.418   
1am ,22-Aug-2014,0.233  
12pm ,04-Dec-2014,0.616kwh  
6pm , 8-Jul-2014,3.662kwh  
10am , 7-Nov-2014,0.166kwh
7am , 4-Nov-2014,0.356 
5am ,14-May-2014,1.012   
6pm ,18-Jul-2014,3.461   
10pm ,08-Mar-2014,0.336   
4pm ,28-Apr-2014,0.108kwh
12pm ,25-May-2014,0.446kwh  
6pm ,22-Oct-2014,1.008  
11pm , 1-Jun-2014,1.035   
4pm ,18-Feb-2014,0.494kwh  
10pm ,18-Jul-2014,1.63
11am , 4-Apr-2014,0.179 
1pm ,30-Sep-2014,0.302 
3pm ,13-Dec-2014,1.04kwh 
3am , 2-Apr-2014,0.057 
2am ,10-Oct-2014,0.138 
2am ,26-Jun-2014,0.403  
9am ,28-Apr-2014,0.10kwh 
10am ,23-Oct-2014,0.206  
3pm ,4-Mar-2014,0.314kwh  
11am ,24-Oct-2014,0.315 
12am ,28-Aug-2014,0.299kwh  
7pm ,28-May-2014,1.555
12pm ,22-Feb-2014,0.655kwh 
4am ,14-Jan-2014,0.328 
9am ,25-Oct-2014,0.535   
9pm ,19-Jun-2014,0.972 
12pm ,10-Dec-2014,0.638kwh 
12pm ,01-Jan-2014,0.80kwh  
5am ,12-Oct-2014,0.189 
10am ,11-Mar-2014,0.304   
4pm ,29-Mar-2014,0.749   
1am , 9-Jul-2014,0.485kwh
4pm , 8-Jun-2014,1.717 
2pm ,23-Sep-2014,0.294  
12am ,13-Mar-2014,0.257
3pm ,29-May-2014,0.355   
7am ,06-Feb-2014,1.274   
6am ,25-Jul-2014,2.678  
9am ,26-Feb-2014,0.295  
2pm ,27-Oct-2014,0.199kwh  
4am ,11-Jun-2014,0.432kwh
4am , 9-Dec-2014,0.24kwh  
9am ,18-Apr-2014,0.097  
10pm ,31-Jul-2014,1.392kwh  
11am ,11-Mar-2014,0.368 
7am ,15-Feb-2014,1.555kwh  
6am ,17-Dec-2014,1.254 
2am ,02-Jul-2014,0.49kwh 
11am ,11-Jul-2014,1.068 
5pm ,30-Dec-2014,1.559kwh 
9pm ,27-Apr-2014,0.148  
11am ,9-Nov-2014,0.286kwh
8pm ,29-Mar-2014,1.685 
11am ,23-Oct-2014,0.303 
2pm , 9-Jun-2014,0.662
12am ,19-Jul-2014,2.17  
7pm ,15-Dec-2014,1.881  
3pm ,21-Dec-2014,0.96kwh  
7am ,30-Jul-2014,1.944
6pm , 3-Mar-2014,1.098  
8am ,23-Sep-2014,0.227  
1am ,7-Jul-2014,0.514 
6pm ,20-Aug-2014,2.016  
11am ,22-Jul-2014,1.428 
5am ,02-Aug-2014,0.40
7am ,27-Sep-2014,0.991  
2pm , 1-Nov-2014,0.418  
4pm ,21-Jun-2014,1.685kwh
6pm , 8-Jan-2014,2.548   
1pm ,23-Jan-2014,0.648kwh
10am ,15-Nov-2014,0.297kwh
12pm ,31-Aug-2014,0.662  
9am ,23-Nov-2014,0.324kwh
2pm , 3-Sep-2014,0.316   
1am ,30-Jun-2014,0.36  
12am ,29-May-2014,0.278kwh
2pm ,18-Nov-2014,0.198kwh 
2pm ,24-Jan-2014,0.824
1am ,30-Nov-2014,0.119 
10pm ,5-Jan-2014,1.20 
5am ,20-Dec-2014,0.30 
4am ,31-Jan-2014,0.388 
4pm ,18-Jun-2014,0.749
9am ,2-Jul-2014,0.634
2pm ,22-Jun-2014,1.238 
8pm ,30-May-2014,1.101kwh 
4pm ,01-Mar-2014,0.792 
1pm ,04-Dec-2014,0.502
2pm ,23-Feb-2014,0.95  
6pm ,1-Feb-2014,2.052   
8pm , 2-Jul-2014,4.416   
7am ,21-May-2014,0.828  
8pm ,10-Sep-2014,1.344kwh
3pm ,21-Mar-2014,0.317  
11pm ,12-Oct-2014,0.288 
3pm ,30-Jul-2014,1.133  
12pm ,19-Sep-2014,0.378 
9am ,16-Dec-2014,0.396  
8pm , 2-Oct-2014,1.085  
10am ,14-Sep-2014,0.365 
5am ,25-Aug-2014,1.148 
6am ,30-Jan-2014,2.856kwh  
9pm ,21-Feb-2014,0.466kwh 
7am ,10-Jan-2014,2.142  
11pm ,05-Dec-2014,1.21  
6am , 9-Sep-2014,0.991 
6pm ,14-Mar-2014,1.322kwh
6am ,26-Apr-2014,0.252  
12am ,27-Sep-2014,0.577   
12pm ,22-Aug-2014,0.618kwh  
1am , 9-Jan-2014,0.36 
2am , 7-Mar-2014,0.15  
9am , 7-Jun-2014,1.831kwh 
4am , 9-Jun-2014,0.31 
6pm ,4-Sep-2014,1.058
8pm ,04-Jan-2014,3.492
5pm , 5-Jun-2014,2.293kwh  
7pm ,30-Mar-2014,1.282  
12am , 6-Jun-2014,0.502 
3am ,20-Dec-2014,0.307   
5pm ,28-May-2014,0.946  
6pm ,1-Jul-2014,3.091  
5pm ,11-Sep-2014,1.083  
4pm ,12-Oct-2014,0.572kwh
1pm ,29-Mar-2014,0.509kwh 
8am ,17-Mar-2014,0.358  
3am ,23-Nov-2014,0.147   
10am ,20-Jul-2014,1.224   
10am , 6-Jul-2014,1.382  
5am ,22-Jun-2014,0.632 
11pm , 8-Feb-2014,1.116 
6am ,16-Sep-2014,0.773kwh 
12am ,09-Jun-2014,0.556kwh  
7pm ,20-Mar-2014,1.512kwh 
3pm , 4-Nov-2014,0.162 
7pm ,22-Jun-2014,2.592kwh 
5pm ,26-Jul-2014,1.771   
3am ,10-Mar-2014,0.189 
8pm ,04-Jun-2014,2.938
11pm ,25-Dec-2014,0.523 
9pm ,01-Jun-2014,0.95
1pm ,03-Oct-2014,0.271kwh 
1pm ,24-Oct-2014,0.197  
6pm ,15-Aug-2014,1.445   
5am ,30-Dec-2014,1.125
4pm ,17-Nov-2014,0.189 
11am ,16-Jul-2014,1.428kwh  
3am ,24-Sep-2014,0.161   
11am ,10-Apr-2014,0.158 
8am ,26-Aug-2014,0.547kwh 
12pm ,9-Sep-2014,0.326 
6pm ,15-Jul-2014,3.73 
2pm ,31-Aug-2014,0.864 
4am ,16-Sep-2014,0.157  
3pm , 5-Aug-2014,0.47 
6pm ,30-Aug-2014,2.311   
1am , 3-Oct-2014,0.11  
5am ,07-Sep-2014,0.185  
7am ,29-Oct-2014,0.605kwh
9am ,4-Mar-2014,0.286kwh  
12pm ,18-Mar-2014,0.364kwh
3pm , 2-Jun-2014,0.828kwh
3pm ,14-Jun-2014,1.409  
7am ,24-Jun-2014,1.895kwh
4am ,01-Dec-2014,0.191kwh  
9pm , 8-Oct-2014,0.335kwh  
8pm ,29-Sep-2014,1.187kwh
11am , 6-Sep-2014,0.416  
1am ,06-Nov-2014,0.103 
1pm ,28-Jul-2014,0.979   
7am ,20-Jun-2014,1.636
10am ,27-Jan-2014,0.656 
4pm , 5-Feb-2014,0.571kwh  
9am ,27-Jan-2014,0.57kwh  
5am ,04-Aug-2014,1.386kwh
7am ,12-Sep-2014,0.731kwh 
12am ,12-Nov-2014,0.131   
7am ,26-Dec-2014,1.119 
5pm ,26-Jan-2014,1.584kwh
7pm ,15-Aug-2014,2.246  
10pm , 5-Dec-2014,0.801  
2am , 2-Mar-2014,0.192  
2pm , 2-Sep-2014,0.294kwh
3am , 6-May-2014,0.144  
5am ,20-May-2014,0.836kwh
4pm ,30-Jul-2014,0.912 
9pm ,13-Sep-2014,0.288  
12pm ,17-Nov-2014,0.207 
9am ,27-Feb-2014,0.306   
1pm ,31-May-2014,0.528kwh
10am , 4-Aug-2014,0.398 
2am , 6-Apr-2014,0.108
5am , 5-Apr-2014,0.077  
7am ,25-May-2014,0.768  
2am ,17-Jun-2014,0.364   
4pm , 3-Jan-2014,0.888 
6am ,19-Nov-2014,0.437kwh
7am , 4-Aug-2014,1.123kwh  
1pm ,11-Oct-2014,0.346
12pm ,06-Nov-2014,0.203kwh  
7pm , 6-Aug-2014,2.009kwh  
2am ,18-Mar-2014,0.163  
9pm ,21-Oct-2014,0.328  
4pm ,21-Sep-2014,0.662kwh  
2pm , 1-Jan-2014,0.872kwh  
6pm , 9-Jan-2014,2.408kwh
1am , 3-Mar-2014,0.162  
4pm ,16-Oct-2014,0.262
5am ,27-May-2014,0.88kwh
11pm ,17-Dec-2014,0.638
9am ,11-Feb-2014,0.389   
7am ,23-Sep-2014,0.706kwh 
5am ,21-Jul-2014,2.534 
12pm , 8-Feb-2014,0.792  
1pm ,21-May-2014,0.33kwh 
7am ,19-Nov-2014,0.401kwh
2pm , 1-Apr-2014,0.143 
7am ,17-Oct-2014,0.578kwh
12pm ,06-Dec-2014,0.66  
6am ,15-Aug-2014,1.267kwh 
10pm ,10-Nov-2014,0.254 
4am ,17-Oct-2014,0.104  
11am , 3-Dec-2014,0.633kwh
2pm ,27-May-2014,0.362
4am ,29-Aug-2014,0.194kwh 
9pm ,10-Jun-2014,1.058  
5am ,20-Jun-2014,1.94kwh 
6pm ,24-Oct-2014,0.823kwh 
9am , 2-Sep-2014,0.206 
11am ,16-Jun-2014,0.774kwh
1pm , 5-Mar-2014,0.374kwh
6pm ,24-May-2014,1.31kwh 
7am ,23-Dec-2014,0.931
5pm ,07-Nov-2014,0.544
10am , 3-Nov-2014,0.146kwh
2am ,28-Sep-2014,0.168
3am ,10-Aug-2014,0.328  
5pm ,15-Apr-2014,0.425   
1pm ,23-Nov-2014,0.254  
12am ,29-Sep-2014,0.204  
12am ,19-Nov-2014,0.122  
6pm ,04-Nov-2014,0.662kwh  
1pm ,10-Sep-2014,0.328kwh  
9am ,1-Feb-2014,1.231  
2am , 6-Nov-2014,0.086kwh 
3pm ,24-Apr-2014,0.098  
4am ,24-Oct-2014,0.134   
7pm ,30-Dec-2014,2.138 
11pm ,26-Nov-2014,0.198kwh 
6am ,9-Oct-2014,0.727kwh  
5am ,27-Jan-2014,1.98kwh
5am ,05-Jun-2014,1.96kwh
4pm ,20-Feb-2014,0.461  
6am ,19-Jun-2014,2.268  
2am ,29-Jul-2014,0.509kwh
1am ,17-Jun-2014,0.389kwh
10am ,08-Nov-2014,0.273 
2pm ,11-May-2014,0.736  
3pm ,15-Oct-2014,0.218 
12am ,26-Jun-2014,0.47kwh  
11pm ,27-May-2014,0.356  
8am ,03-Oct-2014,0.25
2am ,23-Apr-2014,0.05kwh  
1am ,14-Aug-2014,0.202   
3pm ,04-Jul-2014,0.922 
8pm , 3-Dec-2014,1.918
11am ,10-Jan-2014,0.91 
7am ,05-May-2014,0.706  
11am ,08-Jun-2014,1.015 
5pm ,24-Oct-2014,0.881kwh
10pm ,29-Sep-2014,0.298 
8pm ,13-Aug-2014,1.92  
2pm ,10-Feb-2014,0.566kwh 
5pm , 6-Jun-2014,2.527   
4pm ,20-Jan-2014,0.808   
1am ,13-Apr-2014,0.087  
5pm ,23-Aug-2014,0.961kwh 
11am ,28-Aug-2014,0.648kwh  
9am ,31-Aug-2014,1.253 
4pm ,25-May-2014,0.857 
2pm ,10-Aug-2014,0.768
10pm , 9-Dec-2014,0.451kwh
1pm ,13-Oct-2014,0.24 
5pm , 2-Nov-2014,0.397   
10am ,27-Oct-2014,0.226
8pm ,17-Nov-2014,0.857kwh
5pm ,31-May-2014,0.67kwh
8pm ,24-Sep-2014,1.064 
11pm ,18-Mar-2014,0.376 
4am ,12-May-2014,0.189 
7am ,17-Jul-2014,1.987kwh
2am ,24-Aug-2014,0.313kwh  
9pm ,01-May-2014,0.422kwh  
11am ,20-Jun-2014,0.747 
8am , 3-Mar-2014,0.371
3am ,28-Aug-2014,0.221 
4pm ,24-Jul-2014,1.142kwh 
4am ,27-Oct-2014,0.136   
5am ,23-Feb-2014,0.41 
8am ,18-Jun-2014,0.59kwh  
1pm ,18-Nov-2014,0.184kwh
11pm ,18-Sep-2014,0.354  
2am ,26-Sep-2014,0.153kwh
2pm ,04-Mar-2014,0.301kwh
6pm ,20-Jan-2014,3.052kwh
4pm ,23-Mar-2014,0.77kwh  
11am , 7-Feb-2014,0.54 
5pm ,21-May-2014,1.102  
7am ,7-Nov-2014,0.393kwh
2pm ,21-Mar-2014,0.266  
3pm ,14-Feb-2014,0.523  
4pm ,21-Apr-2014,0.102kwh  
4am , 8-Apr-2014,0.052kwh
2pm ,31-Mar-2014,0.262 
10am ,12-Oct-2014,0.346 
2pm ,05-Sep-2014,0.319
4pm ,13-Apr-2014,0.321  
12am ,2-Feb-2014,0.835  
6am ,28-Nov-2014,0.545kwh
3am ,11-Jun-2014,0.331kwh 
11pm ,21-Apr-2014,0.122 
12am ,15-Jul-2014,0.785   
12pm ,11-Nov-2014,0.248  
3am ,18-Jul-2014,0.432   
11pm ,03-Aug-2014,0.618kwh 
3am ,17-Sep-2014,0.113
5am ,20-Sep-2014,0.248 
4am ,17-Aug-2014,0.288kwh
4am ,11-May-2014,0.228kwh
6am ,31-Oct-2014,0.742kwh
2pm , 7-Nov-2014,0.187 
12am ,04-Sep-2014,0.168kwh
12pm ,12-Aug-2014,0.546 
10am ,07-Jan-2014,0.672kwh  
12am , 5-Oct-2014,0.437kwh  
1am ,11-Sep-2014,0.112   
6am ,17-Sep-2014,0.781kwh  
3pm ,21-Apr-2014,0.136kwh 
1am , 5-Apr-2014,0.086
7pm , 5-Jul-2014,4.406   
9am ,15-Sep-2014,0.221   
6am ,09-Jun-2014,1.944kwh 
4pm ,17-Dec-2014,0.524   
3am , 2-May-2014,0.168 
8am ,19-Jun-2014,0.821  
3am ,03-Oct-2014,0.131 
8pm ,14-Jul-2014,3.456  
8pm ,19-Apr-2014,0.497kwh
8pm ,02-Jun-2014,2.333  
4am , 5-Apr-2014,0.105   
10am ,24-Apr-2014,0.098kwh  
2am ,12-Feb-2014,0.257  
8am ,09-Apr-2014,0.132 
3am , 6-Mar-2014,0.146 
3pm ,16-Nov-2014,0.462  
6am ,2-Sep-2014,0.949  
8am ,16-Aug-2014,1.31
4pm ,10-Jul-2014,0.797kwh  
12pm , 1-Mar-2014,0.398   
3pm ,31-Oct-2014,0.242   
10pm ,31-Mar-2014,0.364   
9am , 8-Feb-2014,1.112  
9am , 4-Apr-2014,0.095
7pm , 4-Mar-2014,1.253 
1pm ,12-Nov-2014,0.189 
4pm ,2-Oct-2014,0.281 
3pm ,20-Feb-2014,0.499  
11pm ,30-Jan-2014,0.85  
8pm , 1-Aug-2014,1.805  
10am ,14-Dec-2014,0.581  
8am ,05-Jun-2014,0.626
3pm ,16-Jan-2014,0.816kwh
9am ,05-Jan-2014,1.692kwh
10pm ,20-Feb-2014,0.486kwh
1pm , 4-Jun-2014,0.835kwh 
10am ,24-Oct-2014,0.202kwh
2pm ,11-Nov-2014,0.198kwh 
1pm ,20-Jan-2014,0.872   
4pm ,22-Nov-2014,0.454  
8pm ,22-Nov-2014,0.891kwh
5pm ,01-Apr-2014,0.355 
3pm ,10-Jul-2014,0.768kwh
7am ,13-Jun-2014,1.701kwh 
9pm ,1-Jan-2014,1.404   
2am , 8-Sep-2014,0.16 
5am ,25-Apr-2014,0.29  
10am ,20-Jan-2014,0.776  
10am , 2-Apr-2014,0.126kwh
7pm ,08-Feb-2014,1.728kwh 
1pm ,21-Jan-2014,0.808kwh 
4pm ,09-Jun-2014,0.576kwh
9pm ,25-Oct-2014,0.238kwh 
12am , 1-Dec-2014,0.327kwh  
6pm , 8-Aug-2014,1.646kwh  
10pm ,25-Sep-2014,0.406  
11am ,13-Dec-2014,0.733kwh
11pm ,11-Jun-2014,0.783
4am ,30-Sep-2014,0.146 
6pm ,24-Aug-2014,2.419   
11am ,15-Jul-2014,1.32kwh 
1am ,29-May-2014,0.163   
9pm ,27-Sep-2014,0.244   
9pm , 2-Jul-2014,1.469   
5am ,31-Mar-2014,0.722 
3am ,29-May-2014,0.157 
2am ,5-Feb-2014,0.247   
8am ,23-Nov-2014,0.515
5pm ,11-Oct-2014,0.502 
2pm ,27-Sep-2014,0.65  
2am ,27-Jul-2014,0.821   
1pm ,27-Mar-2014,0.307 
8am ,16-Sep-2014,0.246 
11am , 6-Jun-2014,1.08 
11pm ,23-Dec-2014,0.446 
8pm ,11-Apr-2014,0.514  
3pm ,27-Feb-2014,0.432kwh  
6pm , 4-Feb-2014,1.462kwh 
3pm ,25-May-2014,0.684kwh 
7am , 8-Jun-2014,2.009   
7pm , 7-Feb-2014,2.225   
4pm ,24-May-2014,0.799   
7pm ,22-Nov-2014,0.948 
4pm ,07-Dec-2014,1.099  
8am ,17-Sep-2014,0.322kwh 
10am ,4-Oct-2014,0.378 
2am ,30-Sep-2014,0.16  
4pm ,22-Dec-2014,0.449   
6pm ,09-Feb-2014,2.138  
7am ,14-Sep-2014,0.764kwh  
2pm ,27-Feb-2014,0.427 
12pm ,16-Jun-2014,1.026kwh  
9am ,29-Jul-2014,0.727kwh  
3pm ,28-Jul-2014,0.787kwh 
5pm ,25-Oct-2014,0.529   
12am ,2-Nov-2014,0.342  
4am ,28-Sep-2014,0.246  
6am ,21-Mar-2014,0.97 
2pm , 6-Sep-2014,0.543 
11pm ,25-Feb-2014,0.528 
12am , 6-Aug-2014,0.346   
5pm ,24-Jun-2014,1.872 
11pm ,10-Jun-2014,1.008kwh  
2am ,12-Jul-2014,0.706kwh
9pm ,20-Jan-2014,1.104 
4pm , 3-Nov-2014,0.202kwh
6am , 3-Dec-2014,1.188kwh 
6pm ,03-Apr-2014,0.37   
11pm ,15-May-2014,0.384  
8am ,06-Mar-2014,0.285 
2am ,23-May-2014,0.168kwh
12pm ,14-Jun-2014,0.896  
5pm ,18-Nov-2014,0.474kwh 
9pm ,04-Jan-2014,0.84  
5am ,24-Dec-2014,1.307 
3pm ,30-Jan-2014,0.696 
9am ,03-Sep-2014,0.193 
9am ,20-Aug-2014,0.389kwh  
11pm , 1-Apr-2014,0.131
3am ,18-Aug-2014,0.266 
10am , 1-Apr-2014,0.098 
2pm ,25-Nov-2014,0.214 
3pm ,31-May-2014,0.605 
4am ,2-Nov-2014,0.157kwh  
10pm ,25-Jan-2014,0.912   
10pm ,29-Oct-2014,0.309kwh  
12am ,17-Sep-2014,0.225  
5am ,18-Feb-2014,1.333   
11am ,16-Mar-2014,0.504kwh  
3am ,26-Jan-2014,0.576   
2pm ,15-Oct-2014,0.245  
8pm ,26-Sep-2014,1.277kwh 
2am ,21-May-2014,0.136
1pm ,12-Feb-2014,0.533  
5pm ,30-Sep-2014,0.728  
3am , 7-Mar-2014,0.152kwh
6am ,28-Sep-2014,0.599  
6am ,13-Feb-2014,1.598
5pm ,02-Apr-2014,0.378kwh
9pm ,11-Jan-2014,0.864 
9pm , 7-Oct-2014,0.40kwh 
3am , 3-Jan-2014,0.472kwh
2am ,12-Dec-2014,0.231kwh  
11pm ,22-Dec-2014,0.512kwh  
11am ,26-Mar-2014,0.344  
9am , 6-Aug-2014,0.378  
11pm ,06-Feb-2014,0.66 
6am ,3-May-2014,0.57  
6pm ,16-Jun-2014,2.167 
11pm ,24-Jan-2014,2.00kwh
6pm ,25-Sep-2014,0.833 
11pm , 5-Aug-2014,0.57  
3am , 5-May-2014,0.141   
12pm ,18-Sep-2014,0.326 
6pm ,16-May-2014,1.064kwh  
5am ,22-Aug-2014,1.254
9am , 5-Sep-2014,0.242  
2pm ,25-Jun-2014,0.641
9pm ,14-May-2014,0.49 
1pm ,18-Jun-2014,0.835
10pm ,26-Jun-2014,0.756
8pm ,12-Sep-2014,1.008  
3am ,16-Sep-2014,0.165   
5pm ,22-Jun-2014,1.361
4pm ,13-Jan-2014,0.656kwh 
3pm ,05-Sep-2014,0.28kwh
9am ,24-Jun-2014,0.475
5pm , 8-Nov-2014,0.324
9pm ,22-Apr-2014,0.173   
12am ,30-Nov-2014,0.382kwh  
6am ,30-Apr-2014,0.374kwh 
12am ,24-Mar-2014,0.23  
5am ,24-Nov-2014,0.579kwh 
5am ,19-Dec-2014,1.283   
12am ,16-Jul-2014,0.806  
6pm ,15-Apr-2014,0.365 
4pm ,27-Jan-2014,0.816 
12pm ,26-Aug-2014,0.51
9pm ,14-Oct-2014,0.295
9pm ,14-Apr-2014,0.169  
12am ,24-Sep-2014,0.187kwh  
11pm ,26-Jan-2014,0.96
5am , 4-Apr-2014,0.396 
11pm ,03-Nov-2014,0.205   
3am ,22-Dec-2014,0.187   
1am , 4-Nov-2014,0.088
6pm ,10-Sep-2014,1.117  
4pm , 4-Apr-2014,0.109 
4am ,25-Apr-2014,0.066kwh
2am ,04-Aug-2014,0.286  
12am ,03-Oct-2014,0.18  
1pm ,26-Dec-2014,0.383 
5am ,28-Apr-2014,0.356 
10am ,01-Sep-2014,0.322kwh 
7am ,28-Aug-2014,1.069kwh 
1am ,16-Jan-2014,0.344kwh
5pm ,08-May-2014,1.102 
8am ,20-Oct-2014,0.269
9am ,22-Jun-2014,1.669
4am ,08-May-2014,0.142  
3pm ,5-Nov-2014,0.184   
12pm , 2-Feb-2014,0.67  
12am ,27-May-2014,0.269kwh
6am , 3-Aug-2014,0.912kwh  
5pm ,14-Apr-2014,0.355  
6pm ,15-Dec-2014,1.586  
12pm ,26-May-2014,0.332 
8pm ,20-Dec-2014,2.039  
2am ,12-Jun-2014,0.374kwh
7pm ,14-Sep-2014,1.008 
6am ,26-Feb-2014,1.613   
6am ,14-May-2014,1.123kwh
3am ,30-Sep-2014,0.162
6pm , 3-Oct-2014,0.848   
12pm ,14-Feb-2014,0.654 
5pm ,24-Feb-2014,1.763 
6am ,18-Oct-2014,0.504 
12pm ,23-Apr-2014,0.138  
8am ,30-Sep-2014,0.266  
6am ,21-Nov-2014,0.589   
11pm ,23-Mar-2014,0.408kwh
10am ,16-Nov-2014,0.265kwh 
2pm ,23-May-2014,0.355kwh 
12am ,13-May-2014,0.214kwh 
5am ,13-Jul-2014,0.598kwh 
3pm ,13-Aug-2014,0.576kwh  
8am ,20-Aug-2014,0.528 
3pm ,27-Apr-2014,0.278   
12am ,13-Sep-2014,0.51
10pm , 2-Oct-2014,0.285   
6am ,11-Aug-2014,1.685kwh
11pm ,10-Aug-2014,0.48   
8am ,21-Jan-2014,0.848kwh
6am , 4-Apr-2014,0.342
6pm ,24-Dec-2014,1.663kwh
5am ,17-Jun-2014,1.742kwh
10pm ,12-Sep-2014,0.524 
1pm ,6-Apr-2014,0.164 
1pm ,24-Sep-2014,0.297   
11am , 2-Sep-2014,0.378kwh
10pm ,21-Jul-2014,1.332kwh  
10pm ,8-Dec-2014,0.446  
7am ,1-Jun-2014,2.419
9am ,23-Mar-2014,0.626kwh 
6am , 4-Jun-2014,2.592kwh  
6am ,26-Nov-2014,0.432
6pm , 4-May-2014,1.541  
11am ,25-Aug-2014,0.492
12pm ,24-Mar-2014,0.42
12pm ,19-May-2014,0.416kwh 
7am ,28-Nov-2014,0.47kwh 
6pm ,12-Dec-2014,1.371
10pm ,17-Dec-2014,0.66kwh 
2pm ,24-Nov-2014,0.175kwh 
9am ,17-Dec-2014,0.327kwh 
6pm ,26-Jan-2014,3.204  
12pm ,07-Dec-2014,0.766kwh 
7am ,17-Nov-2014,0.413kwh
3pm ,30-Apr-2014,0.127  
8am ,02-Apr-2014,0.10
10pm ,17-Aug-2014,0.54kwh 
2pm ,07-Jul-2014,0.912kwh 
6am ,20-Sep-2014,0.51  
5pm ,16-Sep-2014,0.937kwh  
5am ,29-May-2014,0.871   
2am , 5-May-2014,0.182kwh
8pm ,15-Apr-2014,0.518 
7am ,18-Jun-2014,1.539  
4pm ,11-Sep-2014,0.235  
1am , 3-Aug-2014,0.346kwh
9pm ,21-Jul-2014,1.368  
4am ,21-Jul-2014,0.499kwh 
6am ,23-Oct-2014,0.835  
9pm , 2-May-2014,0.371 
2am , 1-Mar-2014,0.266  
12am ,24-Jul-2014,0.778 
2pm , 9-Mar-2014,0.582 
2pm ,19-Aug-2014,0.499
6pm ,23-May-2014,1.154
5pm ,22-Oct-2014,0.749kwh  
12pm , 1-May-2014,0.36
8pm ,30-Jul-2014,3.418 
11am , 2-Oct-2014,0.297  
5am ,03-Dec-2014,1.077  
2am ,3-Jul-2014,0.552  
4am , 2-Sep-2014,0.144kwh 
9pm ,29-Oct-2014,0.40kwh 
7am ,9-Sep-2014,0.712kwh  
5am ,04-Oct-2014,0.194 
12am ,05-Sep-2014,0.195   
10pm , 8-Jan-2014,0.94kwh
1am ,20-May-2014,0.139 
3pm ,15-Sep-2014,0.269   
12am ,23-Mar-2014,0.614  
2am ,15-Jan-2014,0.404   
